Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Month_Name,Year,Sales_Growth_Rate,Profit_Growth_Rate,Profit_Margin
32,US-2012-150630,17-09-2012,21-09-2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6,0.2,9.7092,September,2012,2544.117647,781.372549,11.25
33,US-2012-150630,17-09-2012,21-09-2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6,0.7,-5.715,September,2012,-92.05367075,-158.8616982,-83.33333333
34,US-2012-150630,17-09-2012,21-09-2012,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2,0.2,3.546,September,2012,129.8046078,-162.0472441,22.5
35,CA-2014-107727,20-10-2014,24-10-2014,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Staples,29.472,3,0.2,9.9468,October,2014,87.00507614,180.5076142,33.75
36,CA-2013-117590,09-12-2013,11-12-2013,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,7,0.2,123.4737,December,2013,3624.022801,1141.340934,11.25
37,CA-2013-117590,09-12-2013,11-12-2013,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,0.6,-147.963,December,2013,-82.60479762,-219.8336164,-77.5
38,CA-2012-117415,27-12-2012,31-12-2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9,0.2,35.415,December,2012,-40.64110622,-123.9350378,31.25
39,CA-2012-117415,27-12-2012,31-12-2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3,0.32,-46.9764,December,2012,369.7861076,-232.6454892,-8.823529412
40,CA-2012-117415,27-12-2012,31-12-2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3,0.3,-15.147,December,2012,-60.16936164,-67.7561499,-7.142857143
41,CA-2012-117415,27-12-2012,31-12-2012,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4,0.2,41.7564,December,2012,75.03135935,-375.674391,11.25
42,CA-2014-120999,11-09-2014,16-09-2014,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4,0.2,16.5564,September,2014,-60.35003018,-60.35003018,11.25
43,CA-2013-101343,18-07-2013,23-07-2013,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894,July,2013,-47.08088715,-76.48039429,5
44,CA-2014-139619,20-09-2014,24-09-2014,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2,0.2,9.5616,September,2014,22.77349769,145.5469954,10
45,CA-2013-118255,12-03-2013,14-03-2013,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,0,19.7714,March,2013,-51.91181392,106.7792001,43
46,CA-2013-118255,12-03-2013,14-03-2013,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,0,8.2062,March,2013,-62.02696825,-58.4945932,47
47,CA-2011-146703,20-10-2011,25-10-2011,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0,8.4784,October,2011,1113.9748,3.317004216,4
48,CA-2013-169194,21-06-2013,26-06-2013,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3,0,4.95,June,2013,-78.76957917,-41.61634271,11
49,CA-2013-169194,21-06-2013,26-06-2013,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,0,6.104,June,2013,-51.55555556,23.31313131,28
50,CA-2012-115742,18-04-2012,22-04-2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,0,17.9634,April,2012,75.32110092,194.2889908,47
51,CA-2012-115742,18-04-2012,22-04-2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6,0,35.3346,April,2012,96.7032967,96.7032967,47
52,CA-2012-115742,18-04-2012,22-04-2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2,0,2.9568,April,2012,-91.80633147,-91.6319981,48
53,CA-2012-115742,18-04-2012,22-04-2012,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1,0,17.0981,April,2012,1360.876623,478.2636634,19
54,CA-2013-105816,12-12-2013,18-12-2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7,0,6.2566,December,2013,-83.04256028,-63.40763009,41
55,CA-2013-105816,12-12-2013,18-12-2013,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,0,298.6855,December,2013,6649.344692,4673.926733,29
56,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6,0,52.14,June,2013,-79.75047332,-82.54351149,25
57,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5,0,15.552,June,2013,-84.46490219,-70.1726122,48
58,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5,0.1,7.098,June,2013,885.8333333,-54.3595679,2.222222222
59,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,0,6.9888,June,2013,-95.44159544,-1.538461538,48
60,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2,0,3.3,June,2013,106.043956,-52.78159341,11
61,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4,0.2,16.362,June,2013,61.6,395.8181818,33.75
62,CA-2013-111682,18-06-2013,19-06-2013,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1,0,0.84,June,2013,-96.53465347,-94.86615328,50
63,CA-2012-135545,24-11-2012,30-11-2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,0,6.1512,November,2012,732.1428571,632.2857143,44
64,CA-2012-135545,24-11-2012,30-11-2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,0.2,9.3612,November,2012,84.72103004,52.18493952,36.25
65,CA-2012-135545,24-11-2012,30-11-2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3,0,68.9631,November,2012,468.1923792,636.6908089,47
66,CA-2012-135545,24-11-2012,30-11-2012,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,0,22.3328,November,2012,-45.64165474,-67.61630495,28
67,US-2012-164175,30-04-2012,05-05-2012,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5,0.3,-15.2225,May,2012,167.195336,-168.1620755,-7.142857143
68,CA-2011-106376,05-12-2011,10-12-2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,0.2,111.3024,December,2011,422.2645051,-831.1703071,10
69,CA-2011-106376,05-12-2011,10-12-2011,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4,0.2,62.988,December,2011,-84.90886091,-43.40822839,37.5
70,CA-2013-119823,05-06-2013,07-06-2013,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,0,35.6636,June,2013,-54.82472852,-43.38032641,47
71,CA-2013-106075,19-09-2013,24-09-2013,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1,0.2,1.731,September,2013,-93.9167106,-95.14631165,37.5
72,CA-2014-114440,15-09-2014,18-09-2014,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,0,8.763,September,2014,312.694974,406.2391681,46
73,US-2012-134026,26-04-2012,02-05-2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,8,0.2,-114.3912,May,2012,4267.11811,-1405.388566,-13.75
74,US-2012-134026,26-04-2012,02-05-2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,0.2,1.213,May,2012,-88.3356412,-101.0603963,1.25
75,US-2012-134026,26-04-2012,02-05-2012,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,1,0.2,-18.196,May,2012,-24.99587799,-1600.08244,-25
76,US-2014-118038,10-12-2014,12-12-2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,3,0.8,-1.9344,December,2014,-98.28533744,-89.36909211,-155
77,US-2014-118038,10-12-2014,12-12-2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,3,0.6,-5.8248,December,2014,677.8846154,201.1166253,-60
78,US-2014-118038,10-12-2014,12-12-2014,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724,December,2014,180.5933251,-146.7655542,10
79,US-2011-147606,26-11-2011,01-12-2011,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.475,December,2011,-29.14831131,-631.3876652,-75
80,CA-2013-127208,13-06-2013,16-06-2013,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,0,56.2032,June,2013,978.5492228,-488.2777202,27
81,CA-2013-127208,13-06-2013,16-06-2013,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,3,0,8.0352,June,2013,-91.95810915,-85.70330515,48
82,CA-2011-139451,12-10-2011,16-10-2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0,4.172,October,2011,-10.9916368,-48.0784548,28
83,CA-2011-139451,12-10-2011,16-10-2011,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0,6.2031,October,2011,43.55704698,48.68408437,29
84,CA-2012-149734,03-09-2012,08-09-2012,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7,0.2,62.8075,September,2012,839.6166433,912.5179346,31.25
85,US-2014-119662,14-11-2014,17-11-2014,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3,0.2,-48.9549,November,2014,14.62404968,-177.9443538,-21.25
86,CA-2014-140088,29-05-2014,31-05-2014,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2,0,33.2156,May,2014,31.07268118,-167.8493879,11
87,CA-2014-155558,27-10-2014,03-11-2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,1,0,6.7966,November,2014,-93.37991787,-79.53792796,34
88,CA-2014-155558,27-10-2014,03-11-2014,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,2,0,2.9568,November,2014,-69.1845923,-56.49589501,48
89,CA-2013-159695,06-04-2013,11-04-2013,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,7,0.2,13.8572,April,2013,2470.909091,368.655303,8.75
90,CA-2013-109806,18-09-2013,23-09-2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3,0,6.633,September,2013,-87.30804203,-52.13318708,33
91,CA-2013-109806,18-09-2013,23-09-2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,2,0.2,8.2782,September,2013,266.0895522,24.80325645,11.25
92,CA-2013-109806,18-09-2013,23-09-2013,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1,0,3.1104,September,2013,-91.19373777,-62.42661448,48
